inETIP,subcategory,company,website,country,code_sig,network_sig,documentation,potential maven page,potential maven repo,potential github
ETIP,Mobile Marketing,Airpush,airpush.com,USA,com.airpush,,,,,https://github.com/airpush
,Mobile & Web Analytics,Albacross Website Tracking,albacross.com,,,,,,,https://github.com/albacross
,Mobile & Web Analytics,Alliant,alliantinsight.com,,,,,,,
,,All-Star Media Group,allstarmediagroup.com,USA,,,,,,
ETIP,,Alohalytics,github.com/biodranik/alohalytics,,org.alohalytics,,,,,
ETIP,Display & Programmatic Advertising,Alphonso,alphonso.tv,,tv.alphonso.service,,,,,
ETIP,,Altamob,altamob.com,,com.altamob.sdk.,,,,,
ETIP,Mobile Marketing,AltBeacon,altbeacon.org,,com.altbeacon.beacon.,,,,,
,Mobile Marketing,Altrooz,altrooz.com,USA,,,,,,https://github.com/altrooz
,Mobile & Web Analytics,Amazon,amazon.com,,com.amazon.analytics,,,https://bintray.com/amazon,https://dl.bintray.com/amazon/maven/,https://github.com/amazon
ETIP,,Amazon Advertisement,developer.amazon.com/public/apis/earn/mobile-ads/docs/quick-start,,com.amazon.device.ads,,,,,
ETIP,,Amazon Analytics,developer.amazon.com/public/apis/manage/analytics/docs/analytics-for-android-fire-os,,com.amazon.insights|com.amazonaws.mobileconnectors.pinpoint.,mobileanalytics.us-east-1.amazonaws.com,,,,
ETIP,,Amazon Mobile Associates,developer.amazon.com/mobile-associates,,com.amazon.device.associates,,,,,
ETIP,,AMoAd,amoad.com,Japan,com.amoad.,,,,,
ETIP,Display & Programmatic Advertising,Amobee,amobee.com,,com.amobee.adsdk.,,,,,
ETIP,Mobile & Web Analytics,Amplitude,amplitude.com,,com.amplitude,,,,,
ETIP,,Anagog,anagog.com,,com.anagog,,,,,
,Mobile & Web Analytics,Analytics Toolkit,analytics-toolkit.com,,,,,,,
,Mobile & Web Analytics,Anodot,anodot.com,,,,,,,https://github.com/anodot
,Mobile & Web Analytics,AnswerRocket,answerrocket.com,,,,,,,https://github.com/answerrocket
ETIP,,Answers,answers.io,,com.crashlytics.android.answers,,,,,
ETIP,,AnySDK,anysdk.com,,com.anysdk,,,,,
